"snapshot_date","window_start","window_end","store_name","spot_id","storage_id","product_name","product_id","ingredient_name","ingredient_id","current_avg_sales_day","current_min_stock"
"2026-03-27","2026-03-13","2026-03-27","Білоруська","20","44","Піца ""Американська""","1055","Піца ""Американська""","2215","0,36","1"
"2026-03-27","2026-03-13","2026-03-27","Білоруська","20","44","Піца ""Верона""","879","Піца ""Верона""","1954","0,43","1"
"2026-03-27","2026-03-13","2026-03-27","Білоруська","20","44","Піца ""Гавайська""","292","Піца ""Гавайська""","391","0,57","1"
"2026-03-27","2026-03-13","2026-03-27","Білоруська","20","44","Піца ""Грибна""","294","Піца ""Грибна""","392","0,29","1"
"2026-03-27","2026-03-13","2026-03-27","Білоруська","20","44","Піца ""Ді Шпіначіо""","658","Піца ""Ді Шпіначіо""","1412","0,07","1"
"2026-03-27","2026-03-13","2026-03-27","Білоруська","20","44","Піца ""Європейська""","295","Піца ""Європейська""","397","0,29","1"
"2026-03-27","2026-03-13","2026-03-27","Білоруська","20","44","Піца ""Італійська""","660","Піца ""Італійська""","1413","0,57","1"
"2026-03-27","2026-03-13","2026-03-27","Білоруська","20","44","Піца ""Кватро Формаджі""","573","Піца ""Кватро Формаджі""","901","0,43","1"
"2026-03-27","2026-03-13","2026-03-27","Білоруська","20","44","Піца ""Козацька""","1098","Піца ""Козацька""","2274","0,14","1"
"2026-03-27","2026-03-13","2026-03-27","Білоруська","20","44","Піца ""М*ясна""","297","Піца ""М*ясна""","393","0,29","1"
"2026-03-27","2026-03-13","2026-03-27","Білоруська","20","44","Піца ""Мисливська""","298","Піца ""Мисливська""","394","0,5","1"
"2026-03-27","2026-03-13","2026-03-27","Білоруська","20","44","Піца ""Особлива""","300","Піца ""Особлива""","396","0,21","1"
"2026-03-27","2026-03-13","2026-03-27","Білоруська","20","44","Піца ""Пепероні""","1054","Піца ""Пепероні""","2214","0,36","1"
"2026-03-27","2026-03-13","2026-03-27","Білоруська","20","44","Піца ""Поло""","659","Піца ""Поло""","1411","0,07","1"
"2026-03-27","2026-03-13","2026-03-27","Білоруська","20","44","Піца ""Сирна""","301","Піца ""Сирна""","395","0,21","1"
"2026-03-27","2026-03-13","2026-03-27","Білоруська","20","44","Піца ""Тонно"" (з тунцем і шпинатом)","1099","Піца ""Тонно"" (з тунцем і шпинатом)","2275","0,14","1"
"2026-03-27","2026-03-13","2026-03-27","Бульвар","21","45","Піца ""Американська""","1055","Піца ""Американська""","2215","0,57","1"
"2026-03-27","2026-03-13","2026-03-27","Бульвар","21","45","Піца ""Верона""","879","Піца ""Верона""","1954","0,29","1"
"2026-03-27","2026-03-13","2026-03-27","Бульвар","21","45","Піца ""Гавайська""","292","Піца ""Гавайська""","391","0,71","2"
"2026-03-27","2026-03-13","2026-03-27","Бульвар","21","45","Піца ""Грибна""","294","Піца ""Грибна""","392","0,36","1"
"2026-03-27","2026-03-13","2026-03-27","Бульвар","21","45","Піца ""Ді Шпіначіо""","658","Піца ""Ді Шпіначіо""","1412","0,21","1"
"2026-03-27","2026-03-13","2026-03-27","Бульвар","21","45","Піца ""Європейська""","295","Піца ""Європейська""","397","0,57","1"
"2026-03-27","2026-03-13","2026-03-27","Бульвар","21","45","Піца ""Італійська""","660","Піца ""Італійська""","1413","0,64","1"
"2026-03-27","2026-03-13","2026-03-27","Бульвар","21","45","Піца ""Кватро Формаджі""","573","Піца ""Кватро Формаджі""","901","0,43","1"
"2026-03-27","2026-03-13","2026-03-27","Бульвар","21","45","Піца ""Козацька""","1098","Піца ""Козацька""","2274","0,29","1"
"2026-03-27","2026-03-13","2026-03-27","Бульвар","21","45","Піца ""М*ясна""","297","Піца ""М*ясна""","393","0,36","1"
"2026-03-27","2026-03-13","2026-03-27","Бульвар","21","45","Піца ""Мисливська""","298","Піца ""Мисливська""","394","0,79","2"
"2026-03-27","2026-03-13","2026-03-27","Бульвар","21","45","Піца ""Особлива""","300","Піца ""Особлива""","396","0,57","1"
"2026-03-27","2026-03-13","2026-03-27","Бульвар","21","45","Піца ""Пепероні""","1054","Піца ""Пепероні""","2214","0,29","1"
"2026-03-27","2026-03-13","2026-03-27","Бульвар","21","45","Піца ""Поло""","659","Піца ""Поло""","1411","0,36","1"
"2026-03-27","2026-03-13","2026-03-27","Бульвар","21","45","Піца ""Сирна""","301","Піца ""Сирна""","395","0,43","1"
"2026-03-27","2026-03-13","2026-03-27","Бульвар","21","45","Піца ""Тонно"" (з тунцем і шпинатом)","1099","Піца ""Тонно"" (з тунцем і шпинатом)","2275","0,43","1"
"2026-03-27","2026-03-13","2026-03-27","Героїв Майдану","8","5","Піца ""Американська""","1055","Піца ""Американська""","2215","1,36","3"
"2026-03-27","2026-03-13","2026-03-27","Героїв Майдану","8","5","Піца ""Верона""","879","Піца ""Верона""","1954","0,79","2"
"2026-03-27","2026-03-13","2026-03-27","Героїв Майдану","8","5","Піца ""Гавайська""","292","Піца ""Гавайська""","391","1,07","2"
"2026-03-27","2026-03-13","2026-03-27","Героїв Майдану","8","5","Піца ""Грибна""","294","Піца ""Грибна""","392","0,57","1"
"2026-03-27","2026-03-13","2026-03-27","Героїв Майдану","8","5","Піца ""Ді Шпіначіо""","658","Піца ""Ді Шпіначіо""","1412","0,29","1"
"2026-03-27","2026-03-13","2026-03-27","Героїв Майдану","8","5","Піца ""Європейська""","295","Піца ""Європейська""","397","0,93","2"
"2026-03-27","2026-03-13","2026-03-27","Героїв Майдану","8","5","Піца ""Італійська""","660","Піца ""Італійська""","1413","1,5","3"
"2026-03-27","2026-03-13","2026-03-27","Героїв Майдану","8","5","Піца ""Кватро Формаджі""","573","Піца ""Кватро Формаджі""","901","1,29","2"
"2026-03-27","2026-03-13","2026-03-27","Героїв Майдану","8","5","Піца ""Козацька""","1098","Піца ""Козацька""","2274","1,21","2"
"2026-03-27","2026-03-13","2026-03-27","Героїв Майдану","8","5","Піца ""М*ясна""","297","Піца ""М*ясна""","393","1,57","3"
"2026-03-27","2026-03-13","2026-03-27","Героїв Майдану","8","5","Піца ""Мисливська""","298","Піца ""Мисливська""","394","2,93","5"
"2026-03-27","2026-03-13","2026-03-27","Героїв Майдану","8","5","Піца ""Особлива""","300","Піца ""Особлива""","396","0,36","1"
"2026-03-27","2026-03-13","2026-03-27","Героїв Майдану","8","5","Піца ""Пепероні""","1054","Піца ""Пепероні""","2214","0,36","1"
"2026-03-27","2026-03-13","2026-03-27","Героїв Майдану","8","5","Піца ""Поло""","659","Піца ""Поло""","1411","0,43","1"
"2026-03-27","2026-03-13","2026-03-27","Героїв Майдану","8","5","Піца ""Сирна""","301","Піца ""Сирна""","395","2,21","4"
"2026-03-27","2026-03-13","2026-03-27","Героїв Майдану","8","5","Піца ""Тонно"" (з тунцем і шпинатом)","1099","Піца ""Тонно"" (з тунцем і шпинатом)","2275","0,5","1"
"2026-03-27","2026-03-13","2026-03-27","Герцена","3","9","Піца ""Американська""","1055","Піца ""Американська""","2215","0,64","1"
"2026-03-27","2026-03-13","2026-03-27","Герцена","3","9","Піца ""Верона""","879","Піца ""Верона""","1954","0,21","1"
"2026-03-27","2026-03-13","2026-03-27","Герцена","3","9","Піца ""Гавайська""","292","Піца ""Гавайська""","391","0,43","1"
"2026-03-27","2026-03-13","2026-03-27","Герцена","3","9","Піца ""Грибна""","294","Піца ""Грибна""","392","0,5","1"
"2026-03-27","2026-03-13","2026-03-27","Герцена","3","9","Піца ""Ді Шпіначіо""","658","Піца ""Ді Шпіначіо""","1412","0,29","1"
"2026-03-27","2026-03-13","2026-03-27","Герцена","3","9","Піца ""Європейська""","295","Піца ""Європейська""","397","1,14","2"
"2026-03-27","2026-03-13","2026-03-27","Герцена","3","9","Піца ""Італійська""","660","Піца ""Італійська""","1413","0,64","1"
"2026-03-27","2026-03-13","2026-03-27","Герцена","3","9","Піца ""Кватро Формаджі""","573","Піца ""Кватро Формаджі""","901","0,36","1"
"2026-03-27","2026-03-13","2026-03-27","Герцена","3","9","Піца ""Козацька""","1098","Піца ""Козацька""","2274","0,36","1"
"2026-03-27","2026-03-13","2026-03-27","Герцена","3","9","Піца ""М*ясна""","297","Піца ""М*ясна""","393","1,57","3"
"2026-03-27","2026-03-13","2026-03-27","Герцена","3","9","Піца ""Мисливська""","298","Піца ""Мисливська""","394","1,5","3"
"2026-03-27","2026-03-13","2026-03-27","Герцена","3","9","Піца ""Особлива""","300","Піца ""Особлива""","396","0,36","1"
"2026-03-27","2026-03-13","2026-03-27","Герцена","3","9","Піца ""Пепероні""","1054","Піца ""Пепероні""","2214","0,29","1"
"2026-03-27","2026-03-13","2026-03-27","Герцена","3","9","Піца ""Поло""","659","Піца ""Поло""","1411","0,21","1"
"2026-03-27","2026-03-13","2026-03-27","Герцена","3","9","Піца ""Сирна""","301","Піца ""Сирна""","395","1,29","2"
"2026-03-27","2026-03-13","2026-03-27","Герцена","3","9","Піца ""Тонно"" (з тунцем і шпинатом)","1099","Піца ""Тонно"" (з тунцем і шпинатом)","2275","0,21","1"
"2026-03-27","2026-03-13","2026-03-27","Гравітон","5","2","Піца ""Американська""","1055","Піца ""Американська""","2215","1,36","3"
"2026-03-27","2026-03-13","2026-03-27","Гравітон","5","2","Піца ""Верона""","879","Піца ""Верона""","1954","0,43","1"
"2026-03-27","2026-03-13","2026-03-27","Гравітон","5","2","Піца ""Гавайська""","292","Піца ""Гавайська""","391","1,64","3"
"2026-03-27","2026-03-13","2026-03-27","Гравітон","5","2","Піца ""Грибна""","294","Піца ""Грибна""","392","0,64","1"
"2026-03-27","2026-03-13","2026-03-27","Гравітон","5","2","Піца ""Ді Шпіначіо""","658","Піца ""Ді Шпіначіо""","1412","0,36","1"
"2026-03-27","2026-03-13","2026-03-27","Гравітон","5","2","Піца ""Європейська""","295","Піца ""Європейська""","397","0,64","1"
"2026-03-27","2026-03-13","2026-03-27","Гравітон","5","2","Піца ""Італійська""","660","Піца ""Італійська""","1413","2,5","4"
"2026-03-27","2026-03-13","2026-03-27","Гравітон","5","2","Піца ""Кватро Формаджі""","573","Піца ""Кватро Формаджі""","901","1,79","3"
"2026-03-27","2026-03-13","2026-03-27","Гравітон","5","2","Піца ""Козацька""","1098","Піца ""Козацька""","2274","1","2"
"2026-03-27","2026-03-13","2026-03-27","Гравітон","5","2","Піца ""М*ясна""","297","Піца ""М*ясна""","393","3,21","5"
"2026-03-27","2026-03-13","2026-03-27","Гравітон","5","2","Піца ""Мисливська""","298","Піца ""Мисливська""","394","3,5","6"
"2026-03-27","2026-03-13","2026-03-27","Гравітон","5","2","Піца ""Особлива""","300","Піца ""Особлива""","396","0,64","1"
"2026-03-27","2026-03-13","2026-03-27","Гравітон","5","2","Піца ""Пепероні""","1054","Піца ""Пепероні""","2214","0,57","1"
"2026-03-27","2026-03-13","2026-03-27","Гравітон","5","2","Піца ""Поло""","659","Піца ""Поло""","1411","0,64","1"
"2026-03-27","2026-03-13","2026-03-27","Гравітон","5","2","Піца ""Сирна""","301","Піца ""Сирна""","395","1,5","3"
"2026-03-27","2026-03-13","2026-03-27","Гравітон","5","2","Піца ""Тонно"" (з тунцем і шпинатом)","1099","Піца ""Тонно"" (з тунцем і шпинатом)","2275","0,57","1"
"2026-03-27","2026-03-13","2026-03-27","Ентузіастів","9","20","Піца ""Американська""","1055","Піца ""Американська""","2215","1","2"
"2026-03-27","2026-03-13","2026-03-27","Ентузіастів","9","20","Піца ""Верона""","879","Піца ""Верона""","1954","0,07","1"
"2026-03-27","2026-03-13","2026-03-27","Ентузіастів","9","20","Піца ""Гавайська""","292","Піца ""Гавайська""","391","1,57","3"
"2026-03-27","2026-03-13","2026-03-27","Ентузіастів","9","20","Піца ""Грибна""","294","Піца ""Грибна""","392","1,29","2"
"2026-03-27","2026-03-13","2026-03-27","Ентузіастів","9","20","Піца ""Ді Шпіначіо""","658","Піца ""Ді Шпіначіо""","1412","0,57","1"
"2026-03-27","2026-03-13","2026-03-27","Ентузіастів","9","20","Піца ""Європейська""","295","Піца ""Європейська""","397","1,57","3"
"2026-03-27","2026-03-13","2026-03-27","Ентузіастів","9","20","Піца ""Італійська""","660","Піца ""Італійська""","1413","2,21","4"
"2026-03-27","2026-03-13","2026-03-27","Ентузіастів","9","20","Піца ""Кватро Формаджі""","573","Піца ""Кватро Формаджі""","901","2,43","4"
"2026-03-27","2026-03-13","2026-03-27","Ентузіастів","9","20","Піца ""Козацька""","1098","Піца ""Козацька""","2274","0,93","2"
"2026-03-27","2026-03-13","2026-03-27","Ентузіастів","9","20","Піца ""М*ясна""","297","Піца ""М*ясна""","393","2,71","5"
"2026-03-27","2026-03-13","2026-03-27","Ентузіастів","9","20","Піца ""Мисливська""","298","Піца ""Мисливська""","394","4,14","7"
"2026-03-27","2026-03-13","2026-03-27","Ентузіастів","9","20","Піца ""Особлива""","300","Піца ""Особлива""","396","0,71","2"
"2026-03-27","2026-03-13","2026-03-27","Ентузіастів","9","20","Піца ""Пепероні""","1054","Піца ""Пепероні""","2214","0,14","1"
"2026-03-27","2026-03-13","2026-03-27","Ентузіастів","9","20","Піца ""Поло""","659","Піца ""Поло""","1411","0,21","1"
"2026-03-27","2026-03-13","2026-03-27","Ентузіастів","9","20","Піца ""Сирна""","301","Піца ""Сирна""","395","2,57","4"
"2026-03-27","2026-03-13","2026-03-27","Ентузіастів","9","20","Піца ""Тонно"" (з тунцем і шпинатом)","1099","Піца ""Тонно"" (з тунцем і шпинатом)","2275","0,14","1"
"2026-03-27","2026-03-13","2026-03-27","Квартал","22","47","Піца ""Американська""","1055","Піца ""Американська""","2215","0,57","1"
"2026-03-27","2026-03-13","2026-03-27","Квартал","22","47","Піца ""Верона""","879","Піца ""Верона""","1954","0,36","1"
"2026-03-27","2026-03-13","2026-03-27","Квартал","22","47","Піца ""Гавайська""","292","Піца ""Гавайська""","391","0,5","1"
"2026-03-27","2026-03-13","2026-03-27","Квартал","22","47","Піца ""Грибна""","294","Піца ""Грибна""","392","0,36","1"
"2026-03-27","2026-03-13","2026-03-27","Квартал","22","47","Піца ""Ді Шпіначіо""","658","Піца ""Ді Шпіначіо""","1412","0,36","1"
"2026-03-27","2026-03-13","2026-03-27","Квартал","22","47","Піца ""Європейська""","295","Піца ""Європейська""","397","0,93","2"
"2026-03-27","2026-03-13","2026-03-27","Квартал","22","47","Піца ""Італійська""","660","Піца ""Італійська""","1413","0,57","1"
"2026-03-27","2026-03-13","2026-03-27","Квартал","22","47","Піца ""Кватро Формаджі""","573","Піца ""Кватро Формаджі""","901","1,07","2"
"2026-03-27","2026-03-13","2026-03-27","Квартал","22","47","Піца ""Козацька""","1098","Піца ""Козацька""","2274","0,64","1"
"2026-03-27","2026-03-13","2026-03-27","Квартал","22","47","Піца ""М*ясна""","297","Піца ""М*ясна""","393","1,43","3"
"2026-03-27","2026-03-13","2026-03-27","Квартал","22","47","Піца ""Мисливська""","298","Піца ""Мисливська""","394","1,14","2"
"2026-03-27","2026-03-13","2026-03-27","Квартал","22","47","Піца ""Особлива""","300","Піца ""Особлива""","396","0,29","1"
"2026-03-27","2026-03-13","2026-03-27","Квартал","22","47","Піца ""Пепероні""","1054","Піца ""Пепероні""","2214","0,29","1"
"2026-03-27","2026-03-13","2026-03-27","Квартал","22","47","Піца ""Поло""","659","Піца ""Поло""","1411","0,14","1"
"2026-03-27","2026-03-13","2026-03-27","Квартал","22","47","Піца ""Сирна""","301","Піца ""Сирна""","395","1,21","2"
"2026-03-27","2026-03-13","2026-03-27","Квартал","22","47","Піца ""Тонно"" (з тунцем і шпинатом)","1099","Піца ""Тонно"" (з тунцем і шпинатом)","2275","0,07","1"
"2026-03-27","2026-03-13","2026-03-27","Кварц","1","3","Піца ""Американська""","1055","Піца ""Американська""","2215","0,43","1"
"2026-03-27","2026-03-13","2026-03-27","Кварц","1","3","Піца ""Верона""","879","Піца ""Верона""","1954","0,21","1"
"2026-03-27","2026-03-13","2026-03-27","Кварц","1","3","Піца ""Гавайська""","292","Піца ""Гавайська""","391","0,86","2"
"2026-03-27","2026-03-13","2026-03-27","Кварц","1","3","Піца ""Грибна""","294","Піца ""Грибна""","392","0,64","1"
"2026-03-27","2026-03-13","2026-03-27","Кварц","1","3","Піца ""Ді Шпіначіо""","658","Піца ""Ді Шпіначіо""","1412","0,43","1"
"2026-03-27","2026-03-13","2026-03-27","Кварц","1","3","Піца ""Європейська""","295","Піца ""Європейська""","397","0,86","2"
"2026-03-27","2026-03-13","2026-03-27","Кварц","1","3","Піца ""Італійська""","660","Піца ""Італійська""","1413","1,14","2"
"2026-03-27","2026-03-13","2026-03-27","Кварц","1","3","Піца ""Кватро Формаджі""","573","Піца ""Кватро Формаджі""","901","1,64","3"
"2026-03-27","2026-03-13","2026-03-27","Кварц","1","3","Піца ""Козацька""","1098","Піца ""Козацька""","2274","0,29","1"
"2026-03-27","2026-03-13","2026-03-27","Кварц","1","3","Піца ""М*ясна""","297","Піца ""М*ясна""","393","1,14","2"
"2026-03-27","2026-03-13","2026-03-27","Кварц","1","3","Піца ""Мисливська""","298","Піца ""Мисливська""","394","1,07","2"
"2026-03-27","2026-03-13","2026-03-27","Кварц","1","3","Піца ""Особлива""","300","Піца ""Особлива""","396","0,29","1"
"2026-03-27","2026-03-13","2026-03-27","Кварц","1","3","Піца ""Пепероні""","1054","Піца ""Пепероні""","2214","0,14","1"
"2026-03-27","2026-03-13","2026-03-27","Кварц","1","3","Піца ""Поло""","659","Піца ""Поло""","1411","0,36","1"
"2026-03-27","2026-03-13","2026-03-27","Кварц","1","3","Піца ""Сирна""","301","Піца ""Сирна""","395","1,14","2"
"2026-03-27","2026-03-13","2026-03-27","Кварц","1","3","Піца ""Тонно"" (з тунцем і шпинатом)","1099","Піца ""Тонно"" (з тунцем і шпинатом)","2275","0,14","1"
"2026-03-27","2026-03-13","2026-03-27","Київ","13","33","Піца ""Американська""","1055","Піца ""Американська""","2215","0,79","2"
"2026-03-27","2026-03-13","2026-03-27","Київ","13","33","Піца ""Верона""","879","Піца ""Верона""","1954","1,07","2"
"2026-03-27","2026-03-13","2026-03-27","Київ","13","33","Піца ""Гавайська""","292","Піца ""Гавайська""","391","1,21","2"
"2026-03-27","2026-03-13","2026-03-27","Київ","13","33","Піца ""Грибна""","294","Піца ""Грибна""","392","0,86","2"
"2026-03-27","2026-03-13","2026-03-27","Київ","13","33","Піца ""Ді Шпіначіо""","658","Піца ""Ді Шпіначіо""","1412","0,71","2"
"2026-03-27","2026-03-13","2026-03-27","Київ","13","33","Піца ""Європейська""","295","Піца ""Європейська""","397","1,29","2"
"2026-03-27","2026-03-13","2026-03-27","Київ","13","33","Піца ""Італійська""","660","Піца ""Італійська""","1413","0,43","1"
"2026-03-27","2026-03-13","2026-03-27","Київ","13","33","Піца ""Кватро Формаджі""","573","Піца ""Кватро Формаджі""","901","2,21","4"
"2026-03-27","2026-03-13","2026-03-27","Київ","13","33","Піца ""Козацька""","1098","Піца ""Козацька""","2274","0,71","2"
"2026-03-27","2026-03-13","2026-03-27","Київ","13","33","Піца ""М*ясна""","297","Піца ""М*ясна""","393","1,07","2"
"2026-03-27","2026-03-13","2026-03-27","Київ","13","33","Піца ""Мисливська""","298","Піца ""Мисливська""","394","1,43","3"
"2026-03-27","2026-03-13","2026-03-27","Київ","13","33","Піца ""Особлива""","300","Піца ""Особлива""","396","0,29","1"
"2026-03-27","2026-03-13","2026-03-27","Київ","13","33","Піца ""Пепероні""","1054","Піца ""Пепероні""","2214","0,29","1"
"2026-03-27","2026-03-13","2026-03-27","Київ","13","33","Піца ""Поло""","659","Піца ""Поло""","1411","0,43","1"
"2026-03-27","2026-03-13","2026-03-27","Київ","13","33","Піца ""Сирна""","301","Піца ""Сирна""","395","0,64","1"
"2026-03-27","2026-03-13","2026-03-27","Київ","13","33","Піца ""Тонно"" (з тунцем і шпинатом)","1099","Піца ""Тонно"" (з тунцем і шпинатом)","2275","0,5","1"
"2026-03-27","2026-03-13","2026-03-27","Клуб","18","52","Піца ""Американська""","1055","Піца ""Американська""","2215","1,86","3"
"2026-03-27","2026-03-13","2026-03-27","Клуб","18","52","Піца ""Верона""","879","Піца ""Верона""","1954","1,57","3"
"2026-03-27","2026-03-13","2026-03-27","Клуб","18","52","Піца ""Гавайська""","292","Піца ""Гавайська""","391","1,57","3"
"2026-03-27","2026-03-13","2026-03-27","Клуб","18","52","Піца ""Грибна""","294","Піца ""Грибна""","392","1,14","2"
"2026-03-27","2026-03-13","2026-03-27","Клуб","18","52","Піца ""Ді Шпіначіо""","658","Піца ""Ді Шпіначіо""","1412","0,21","1"
"2026-03-27","2026-03-13","2026-03-27","Клуб","18","52","Піца ""Європейська""","295","Піца ""Європейська""","397","1,21","2"
"2026-03-27","2026-03-13","2026-03-27","Клуб","18","52","Піца ""Італійська""","660","Піца ""Італійська""","1413","2,93","5"
"2026-03-27","2026-03-13","2026-03-27","Клуб","18","52","Піца ""Кватро Формаджі""","573","Піца ""Кватро Формаджі""","901","1,86","3"
"2026-03-27","2026-03-13","2026-03-27","Клуб","18","52","Піца ""Козацька""","1098","Піца ""Козацька""","2274","0,86","2"
"2026-03-27","2026-03-13","2026-03-27","Клуб","18","52","Піца ""М*ясна""","297","Піца ""М*ясна""","393","4,43","7"
"2026-03-27","2026-03-13","2026-03-27","Клуб","18","52","Піца ""Мисливська""","298","Піца ""Мисливська""","394","3","5"
"2026-03-27","2026-03-13","2026-03-27","Клуб","18","52","Піца ""Особлива""","300","Піца ""Особлива""","396","0,57","1"
"2026-03-27","2026-03-13","2026-03-27","Клуб","18","52","Піца ""Пепероні""","1054","Піца ""Пепероні""","2214","0,64","1"
"2026-03-27","2026-03-13","2026-03-27","Клуб","18","52","Піца ""Поло""","659","Піца ""Поло""","1411","0,5","1"
"2026-03-27","2026-03-13","2026-03-27","Клуб","18","52","Піца ""Сирна""","301","Піца ""Сирна""","395","2,29","4"
"2026-03-27","2026-03-13","2026-03-27","Клуб","18","52","Піца ""Тонно"" (з тунцем і шпинатом)","1099","Піца ""Тонно"" (з тунцем і шпинатом)","2275","0,21","1"
"2026-03-27","2026-03-13","2026-03-27","Комарова 26 круг","7","21","Піца ""Американська""","1055","Піца ""Американська""","2215","0,86","2"
"2026-03-27","2026-03-13","2026-03-27","Комарова 26 круг","7","21","Піца ""Верона""","879","Піца ""Верона""","1954","0,57","1"
"2026-03-27","2026-03-13","2026-03-27","Комарова 26 круг","7","21","Піца ""Гавайська""","292","Піца ""Гавайська""","391","2,43","4"
"2026-03-27","2026-03-13","2026-03-27","Комарова 26 круг","7","21","Піца ""Грибна""","294","Піца ""Грибна""","392","0,71","2"
"2026-03-27","2026-03-13","2026-03-27","Комарова 26 круг","7","21","Піца ""Ді Шпіначіо""","658","Піца ""Ді Шпіначіо""","1412","0,07","1"
"2026-03-27","2026-03-13","2026-03-27","Комарова 26 круг","7","21","Піца ""Європейська""","295","Піца ""Європейська""","397","2,71","5"
"2026-03-27","2026-03-13","2026-03-27","Комарова 26 круг","7","21","Піца ""Італійська""","660","Піца ""Італійська""","1413","1,79","3"
"2026-03-27","2026-03-13","2026-03-27","Комарова 26 круг","7","21","Піца ""Кватро Формаджі""","573","Піца ""Кватро Формаджі""","901","2,21","4"
"2026-03-27","2026-03-13","2026-03-27","Комарова 26 круг","7","21","Піца ""Козацька""","1098","Піца ""Козацька""","2274","0,79","2"
"2026-03-27","2026-03-13","2026-03-27","Комарова 26 круг","7","21","Піца ""М*ясна""","297","Піца ""М*ясна""","393","1,71","3"
"2026-03-27","2026-03-13","2026-03-27","Комарова 26 круг","7","21","Піца ""Мисливська""","298","Піца ""Мисливська""","394","2,29","4"
"2026-03-27","2026-03-13","2026-03-27","Комарова 26 круг","7","21","Піца ""Особлива""","300","Піца ""Особлива""","396","0,64","1"
"2026-03-27","2026-03-13","2026-03-27","Комарова 26 круг","7","21","Піца ""Пепероні""","1054","Піца ""Пепероні""","2214","0,5","1"
"2026-03-27","2026-03-13","2026-03-27","Комарова 26 круг","7","21","Піца ""Поло""","659","Піца ""Поло""","1411","0,5","1"
"2026-03-27","2026-03-13","2026-03-27","Комарова 26 круг","7","21","Піца ""Сирна""","301","Піца ""Сирна""","395","1,07","2"
"2026-03-27","2026-03-13","2026-03-27","Комарова 26 круг","7","21","Піца ""Тонно"" (з тунцем і шпинатом)","1099","Піца ""Тонно"" (з тунцем і шпинатом)","2275","0,79","2"
"2026-03-27","2026-03-13","2026-03-27","Компас","17","53","Піца ""Американська""","1055","Піца ""Американська""","2215","0,71","2"
"2026-03-27","2026-03-13","2026-03-27","Компас","17","53","Піца ""Верона""","879","Піца ""Верона""","1954","0,36","1"
"2026-03-27","2026-03-13","2026-03-27","Компас","17","53","Піца ""Гавайська""","292","Піца ""Гавайська""","391","0,5","1"
"2026-03-27","2026-03-13","2026-03-27","Компас","17","53","Піца ""Грибна""","294","Піца ""Грибна""","392","0,71","2"
"2026-03-27","2026-03-13","2026-03-27","Компас","17","53","Піца ""Ді Шпіначіо""","658","Піца ""Ді Шпіначіо""","1412","0,07","1"
"2026-03-27","2026-03-13","2026-03-27","Компас","17","53","Піца ""Європейська""","295","Піца ""Європейська""","397","0,57","1"
